text,intent
"Baik, terima kasih rinciannya. Kira-kira proses pengerjaannya memakan waktu berapa lama, ya?",lainnya
Lanjot,setuju
"Aok bang lanjot jak, tpi bsok pagi kamek ambek bise ke?",setuju
Nda jadi,batal
"lahmak maaf ye bang. kayaknye belom dulu lah ni, blm ad duet ny",batal
Bise nego sikit ke bg biar pas gitu hargenye?,lainnya
Kire-kire sore itok bise selese ke?,lainnya
Setuju,setuju
"Aok min, kerjekan jak lok. Tpi jangan diinstal ulang ye datanye",setuju
Nda jadi,batal
"Bg saye ambek besok jak lah laptopnye, duitnye kurang",batal
Bg kureng sikit bise lah ye?,lainnya
mana loksasi min,lainnya
boleh bg,setuju
"Aok bang, tolong cepatkan jak bah soale nak dipakai begawe",setuju
Tidak jadi,batal
"Belom ade rezekinye bang, simpan lok balek",batal
"800, bisa nd bang",lainnya
Bang mun nak betolkan laptop kire-kire sampai jam berape?,lainnya
Oke setuju,setuju
"Kerjekan jak pak, minta tolong dibersihkan debunye sekalian",setuju
tak usah yak bg,batal
"Mahal min, gak usah lah",batal
Kurengkan sikit bah bang hargenye,lainnya
"Baik, terima kasih rinciannya. Kira-kira proses pengerjaannya memakan waktu berapa lama, ya?",lainnya
Sip min,setuju
alahmakk kenak dah lcd nye ye. nd apelah bang gas jak biar cepat betol nye. kalo bise hari ini ye bang,setuju
Tarik balek,batal
"Lewat lok bang, nunggu gajian bulan depan baru bise",batal
Pas 600 bise ke bang?,lainnya
Lamak ndak bg prosesnye?,lainnya
Sip min,setuju
"Lanjut jak pak, tlong dicek gak kipasnye sekalian",setuju
Nd usah,batal
"Belom rezeki bg, saye ambek balek jak dolo",batal
Bg hargenye bise dipaskan agik ndak?,lainnya
selaen perbaikan laptop ade tukar tambah ndak bang?,lainnya
Okey,setuju
"Gass bah min, cepatkan sikit ye soale saye nak ujian",setuju
Tak usah,batal
"Bg saye ambek besok jak lah laptopnye, duitnye kurang",batal
Bise nego ndak tu kak?,lainnya
Berapa lama biasenye ngerjekan itu bang?,lainnya
Sip min,setuju
"Sikat jak bang, tpi saye nak nunggu disitok bise ke?",setuju
Tak usah,batal
"Tunda lok pak, nnti mun ade rezeki saye balek agik",batal
Bise kurang agik ndak tu hargenye bang?,lainnya
"Bang, tutup jam 9 pas ke atau bise lebeh?",lainnya
Boleh min,setuju
"Okelah bang, ganti jak lok yg rusak tu",setuju
Ndak usah dolo bang,batal
"Duet jajan saye tak cukop bg, nabung lok saye",batal
Bise kurang agik ndak pak dari 800 tu?,lainnya
"Kalo misalnye besok, jam berape selesenye bang?",lainnya
Okey,setuju
"Lanjot jak min, tolong kabarin mun dah nyale",setuju
ga jadi deh kak,batal
"Mcmnye belom dolo lah bang, nipis kantong saye",batal
Kak hargenye bise digoyang sikit ndak?,lainnya
Jam 9 malam maseh bukak ke pak?,lainnya
Setuju bg,setuju
"Aok bang lanjot jak, tpi bsok pagi kamek ambek bise ke?",setuju
Batal pak,batal
"Gak usah di benerin aja kak, besok saya ambil laptop nya",batal
Bise potong harga ndak pak?,lainnya
Toko bukak sampay jam berape malam itok?,lainnya
Setuju,setuju
"Aok kak, gass jak. Bise kelar ari itok ndak kak?",setuju
Batal bg,batal
"Aduh lari dari budget saye bg, kumpulkan duet lok saye ni",batal
Potong 50 ribu bise lah ye bang?,lainnya
tokooo tutup jam brpaa yaa minn,lainnya
okey bg/kak,setuju
"Okelah bang, lanjot jak. Tpi saye nak nengok lok komponen rusaknya nnti",setuju
Batal jak bang,batal
"Macam ndak mampu kamek bayarnye bg, pass dolo",batal
Bise kurang agik ndak pak dari 800 tu?,lainnya
buka sampai jam brp min,lainnya
Lanjot,setuju
"Aok pak, sikat jak. Nnti saye ke situ ambeknye",setuju
Batal min,batal
"Nanti lok min, kamek nak rundingkan dolo hargenye",batal
Bise kurang agik ndak tu hargenye bang?,lainnya
Ngerjekannye berape ari bang?,lainnya
Sip,setuju
"Aok bg, gas jak bah nak cepat make kamek ni",setuju
gk jd,batal
"Kira-kira bise ditahan lok ndak ye, duet kamek belom ade ni",batal
Jujur angkanya sedikit di atas anggaran yang saya siapkan. Apakah masih ada ruang untuk diskon atau negosiasi harga,lainnya
tokooo tutup jam brpaa yaa minn,lainnya
"Halo, iy blh",setuju
"Lanjut jak bg, tpi datanya jgn sampai ilang ye bg",setuju
Cancel bang,batal
"Pass lok bang, agek kere kamek ni",batal
Hargenye bise turun sikit ndak min?,lainnya
Pak estimasi beresnye kire-kire lamak tak?,lainnya
Sip min,setuju
"Okelah bang, ganti jak lok yg rusak tu",setuju
Tarik balek,batal
"Tunda lok pak, nnti mun ade rezeki saye balek agik",batal
Halo untuk hargenye bise nd ye bang dikurang kurang lagi. karne saye kire kerusakan di lcd nye nda separah itu. mohon pengertiannye bang,lainnya
Bang mun nak betolkan laptop kire-kire sampai jam berape?,lainnya
Oke setuju,setuju
"gass kan yak kak, saye nak make cepat bah soalnye",setuju
Nda jadi,batal
"Mohon maaf bang, tapi dana saye ndak mencukupek, jadi skip jak",batal
Bise nego ndak bang?,lainnya
Berapa lama biasenye ngerjekan itu bang?,lainnya
boleh bg,setuju
nanti inpokan kalo udah ye,setuju
Batal jak bang,batal
"Duet jajan saye tak cukop bg, nabung lok saye",batal
Jujur angkanya sedikit di atas anggaran yang saya siapkan. Apakah masih ada ruang untuk diskon atau negosiasi harga,lainnya
Kalo diantar bise ndak min nnti pas dah jadi?,lainnya
okeh bg,setuju
"boleh tuh bang santai jak lok, besok saye ambek",setuju
Ndak usah dolo bang,batal
"Gak usah di benerin aja kak, besok saya ambil laptop nya",batal
Kurengkan sikit bah bang hargenye,lainnya
Kalo ari minggu kitak bukak ndak bang?,lainnya
Sip min,setuju
"Lanjot jak min, tolong kabarin mun dah nyale",setuju
batal yak bang,batal
"Skip lok kak, kamek cari pinjaman dolo",batal
bisaaa negoo gkk minn harga serviss nya,lainnya
Alamat lengkapnye di jalan ape ye bang?,lainnya
Sip min,setuju
alahmakk kenak dah lcd nye ye. nd apelah bang gas jak biar cepat betol nye. kalo bise hari ini ye bang,setuju
tak jadi,batal
"Duet jajan saye tak cukop bg, nabung lok saye",batal
Ndak bise turun ke hargenye bang?,lainnya
Sampai jam berape biase selese tu?,lainnya
Lanjot bang,setuju
"Aok bg, betolkan jak lok. Saye ngikut yak",setuju
gk jd,batal
"Nda bise min, duit kamek cuman 300rbu tok",batal
Bise potong harga ndak pak?,lainnya
Kira-kira berapa hari tu kak?,lainnya
s7 bg,setuju
"Lanjut jak bg, tpi datanya jgn sampai ilang ye bg",setuju
Ndak usah dolo bang,batal
"Bg saye ambek besok jak lah laptopnye, duitnye kurang",batal
Bise potong harga ndak pak?,lainnya
Abisnye berape lamak tu bang?,lainnya
Oke,setuju
"Lanjot jak lok bg, nnti malam sye balek kerje saye ambek",setuju
Nda jadi,batal
"Skip lok kak, kamek cari pinjaman dolo",batal
Jujur angkanya sedikit di atas anggaran yang saya siapkan. Apakah masih ada ruang untuk diskon atau negosiasi harga,lainnya
kapan ya bnag baru selesai,lainnya
Sip,setuju
"Y bg, lanjot jak asal bise main game agik laptopnye",setuju
cancel bg,batal
"Lewat lok bang, nunggu gajian bulan depan baru bise",batal
Halo untuk hargenye bise nd ye bang dikurang kurang lagi. karne saye kire kerusakan di lcd nye nda separah itu. mohon pengertiannye bang,lainnya
Kira-kira berapa hari tu kak?,lainnya
okeh bg,setuju
"Lanjut jak bg, tpi datanya jgn sampai ilang ye bg",setuju
Batal jak bang,batal
"Skip lok kak, kamek cari pinjaman dolo",batal
Potong 50 ribu bise lah ye bang?,lainnya
Bg ngerjakannya berape jam tu?,lainnya
okeh,setuju
"Sikat jak bang, tpi saye nak nunggu disitok bise ke?",setuju
"Halo, sepertinya saya mau ambil dulu aja brg nya",batal
"Maaf bg, saye ambek jak laptopnye, belom ade duit",batal
"800, bisa nd bang",lainnya
"Baik, terima kasih rinciannya. Kira-kira proses pengerjaannya memakan waktu berapa lama, ya?",lainnya
Gas bang,setuju
"Aok bg, gas jak bah nak cepat make kamek ni",setuju
Nd usah,batal
"Mahal min, gak usah lah",batal
Halo untuk hargenye bise nd ye bang dikurang kurang lagi. karne saye kire kerusakan di lcd nye nda separah itu. mohon pengertiannye bang,lainnya
mana loksasi min,lainnya
Boleh min,setuju
"Aok bang lanjot jak, tpi bsok pagi kamek ambek bise ke?",setuju
Ndak jadi min,batal
"Lewat lok bang, nunggu gajian bulan depan baru bise",batal
Bise nego sikit ke bg biar pas gitu hargenye?,lainnya
Abisnye berape lamak tu bang?,lainnya
boleh bg,setuju
"Aok bang lanjot jak, tpi bsok pagi kamek ambek bise ke?",setuju
Tarik balek,batal
"Maaf ye bang, saye cancel lok karne duetnye ndak cukop",batal
Turunkan sikit bise lah bang hargenye?,lainnya
Lamak ndak bg prosesnye?,lainnya
Okeh,setuju
"Gass jak bang, tapi kamek mintak selesaikan hari itok juak ye",setuju
Cancel min,batal
kaya nye di batalkan dulu bang service nya,batal
Kurengkan sikit bah bang hargenye,lainnya
Kira-kira berapa hari tu kak?,lainnya
Okeh,setuju
okeyy bg,setuju
Tidak jadi,batal
"Gak usah di benerin aja kak, besok saya ambil laptop nya",batal
Bise tawar ndak bang hargenye?,lainnya
Lamak ndak bg prosesnye?,lainnya
oke bg,setuju
"gass kan yak kak, saye nak make cepat bah soalnye",setuju
Nd usah,batal
"Pass lok bang, agek kere kamek ni",batal
Bise nego ndak bang?,lainnya
buka sampai jam brp min,lainnya
setuju,setuju
"Aok pak, sikat jak. Nnti saye ke situ ambeknye",setuju
batal,batal
"lahmak maaf ye bang. kayaknye belom dulu lah ni, blm ad duet ny",batal
bisaaa negoo gkk minn harga serviss nya,lainnya
Kalo diantar bise ndak min nnti pas dah jadi?,lainnya
Okeh,setuju
"Betolkan jak bah, asal rapi yak kerjenye",setuju
Tidak jadi,batal
"Macam ndak mampu kamek bayarnye bg, pass dolo",batal
Jujur angkanya sedikit di atas anggaran yang saya siapkan. Apakah masih ada ruang untuk diskon atau negosiasi harga,lainnya
Jam 9 malam maseh bukak ke pak?,lainnya
Boleh bg,setuju
"Aok bg, betolkan jak lok. Saye ngikut yak",setuju
Batal min,batal
"Bg saye ambek besok jak lah laptopnye, duitnye kurang",batal
Bise nego ndak pak hargenye?,lainnya
mana loksasi min,lainnya
Lanjot,setuju
"gass kan yak kak, saye nak make cepat bah soalnye",setuju
ga jadi deh kak,batal
"Pass lok bang, agek kere kamek ni",batal
Bg kureng sikit bise lah ye?,lainnya
Abisnye berape lamak tu bang?,lainnya
okeh min,setuju
"Kerjekan jak lok bang, nnti saye transfer dp-nye",setuju
Cancel min,batal
"Ndak bise diteruskan bang, kamek belom gajian",batal
Halo untuk hargenye bise nd ye bang dikurang kurang lagi. karne saye kire kerusakan di lcd nye nda separah itu. mohon pengertiannye bang,lainnya
Toko bukak sampay jam berape malam itok?,lainnya
setuju bg,setuju
"gass kan yak kak, saye nak make cepat bah soalnye",setuju
Nd usah,batal
"Skip lok pak, kamek agek banyak pengeluaran",batal
Ndak bise turun ke hargenye bang?,lainnya
kira-kira udahnya berapa lama ni kak?,lainnya
Sip,setuju
"Okelah bang, ganti jak lok yg rusak tu",setuju
Nd usah,batal
"Maaf bg, saye ambek jak laptopnye, belom ade duit",batal
Bise tawar ndak bang hargenye?,lainnya
tokooo tutup jam brpaa yaa minn,lainnya
setuju kak,setuju
"Aok bang, tapi bise dikerjekan hari itok ke?",setuju
"Halo, sepertinya saya mau ambil dulu aja brg nya",batal
ntakkk cukupp laaa duet sayee min,batal
Bise potong harga ndak pak?,lainnya
Jam 9 malam maseh bukak ke pak?,lainnya
lanjut bg,setuju
"Okeee min, Inpo klo udah",setuju
Nda usah bang,batal
"Ndak bise diteruskan bang, kamek belom gajian",batal
Bise tawar ndak bang hargenye?,lainnya
Berapa lama biasenye ngerjekan itu bang?,lainnya
Lanjot bang,setuju
"Okeee min, Inpo klo udah",setuju
Tarik balek,batal
"Belom rezeki bg, saye ambek balek jak dolo",batal
Bg kureng sikit bise lah ye?,lainnya
Abisnye berape lamak tu bang?,lainnya
Setuju bg,setuju
"Aok bang lanjot jak, tpi bsok pagi kamek ambek bise ke?",setuju
Batal jak bang,batal
"Skip lok kak, kamek cari pinjaman dolo",batal
kak nego 500k bisa gak,lainnya
"Kalo misalnye besok, jam berape bise saye ambek?",lainnya
Boleh bg,setuju
"Gass bah min, cepatkan sikit ye soale saye nak ujian",setuju
Tidak jadi,batal
"Bg saye ambek besok jak lah laptopnye, duitnye kurang",batal
Pas 600 bise ke bang?,lainnya
Bg bukak dari jam berape besok?,lainnya
Ljt yak bg,setuju
"Aok bg, gas jak bah nak cepat make kamek ni",setuju
Nda usah,batal
"Skip lok min, mahal gak hargenye tu tak sanggup saye",batal
Hargenye bise turun sikit ndak min?,lainnya
buka sampai jam brp min,lainnya
Lanjut pak,setuju
"Gass jak kak, tpi kalo ade rusak lain tolong inpo dolo ye",setuju
batal yak bang,batal
nd usah bang. agek butuh makai banyak duet,batal
mahal gak ye bang bise lebih murah kah,lainnya
Kire-kire maseh bise ditunggu ndak bg?,lainnya
oke minnnn,setuju
"Lanjot jak lok bg, nnti malam sye balek kerje saye ambek",setuju
Nd usah,batal
"Belom ade rezekinye bang, simpan lok balek",batal
"800, bisa nd bang",lainnya
mana loksasi min,lainnya
Sip,setuju
"Aok kak, gass jak. Bise kelar ari itok ndak kak?",setuju
cancel bg,batal
"Maaf bg, saye ambek jak laptopnye, belom ade duit",batal
Halo untuk hargenye bise nd ye bang dikurang kurang lagi. karne saye kire kerusakan di lcd nye nda separah itu. mohon pengertiannye bang,lainnya
Kire-kire sore itok bise selese ke?,lainnya
Oke setuju,setuju
"Lanjut jak bg, tpi datanya jgn sampai ilang ye bg",setuju
gk jd,batal
"Belom rezeki bg, saye ambek balek jak dolo",batal
450 bise ndak bang? Paskan jak lah,lainnya
Lamak ndak bg prosesnye?,lainnya
Setuju bg,setuju
"Aok bang lanjot jak, tpi bsok pagi kamek ambek bise ke?",setuju
Tak usah,batal
"Aduh lari dari budget saye bg, kumpulkan duet lok saye ni",batal
Kak hargenye bise digoyang sikit ndak?,lainnya
Bg nnti malam bukak ndak?,lainnya
Setuju bg,setuju
"Lanjot jak lok bg, nnti malam sye balek kerje saye ambek",setuju
Nda usah,batal
"Aduh duit saye tak cukop bg, ambek lok lah nnti",batal
"800, bisa nd bang",lainnya
Berapa lama biasenye ngerjekan itu bang?,lainnya
Oke,setuju
"Kerjekan jak pak, minta tolong dibersihkan debunye sekalian",setuju
Tidak jadi,batal
"Mcmnye belom dolo lah bang, nipis kantong saye",batal
Bg hargenye bise dipaskan agik ndak?,lainnya
selaen perbaikan laptop ade tukar tambah ndak bang?,lainnya
oke inpo nanti bg,setuju
"Lanjot jak lok bg, nnti malam sye balek kerje saye ambek",setuju
tak jadi,batal
"Maaf ye bang, saye cancel lok karne duetnye ndak cukop",batal
Bise nego ndak tu kak?,lainnya
Bang mun nak betolkan laptop kire-kire sampai jam berape?,lainnya
Okeh,setuju
alahmakk kenak dah lcd nye ye. nd apelah bang gas jak biar cepat betol nye. kalo bise hari ini ye bang,setuju
batal kak,batal
"Mahal min, gak usah lah",batal
Bise kurang agik ndak tu hargenye bang?,lainnya
"Kalo misalnye besok, jam berape bise saye ambek?",lainnya
Gas bang,setuju
"Lanjut jak bg, tpi datanya jgn sampai ilang ye bg",setuju
Nda usah bang,batal
"Macam ndak mampu kamek bayarnye bg, pass dolo",batal
Harganye tak bise kurang sikit ke bg?,lainnya
Kira-kira berapa hari tu kak?,lainnya
s7 kakkk,setuju
okeyy bg,setuju
Cancel bang,batal
"Kira-kira bise ditahan lok ndak ye, duet kamek belom ade ni",batal
Bise tawar ndak bang hargenye?,lainnya
Alamat lengkapnye di jalan ape ye bang?,lainnya
Ok sip,setuju
"Aok min, kerjekan jak lok. Tpi jangan diinstal ulang ye datanye",setuju
Ndak usah dolo bang,batal
"Skip lok pak, kamek agek banyak pengeluaran",batal
Bise nego sikit ke bg biar pas gitu hargenye?,lainnya
Kak lokasi pastinya di belah mane ye?,lainnya
Oke,setuju
"Gass jak kak, tpi kalo ade rusak lain tolong inpo dolo ye",setuju
Cancel min,batal
"Maaf bg, saye ambek jak laptopnye, belom ade duit",batal
Bise kurang agik ndak tu hargenye bang?,lainnya
Kak lokasi pastinya di belah mane ye?,lainnya
"Halo, iy blh",setuju
"Aok pak, sikat jak. Nnti saye ke situ ambeknye",setuju
Ndak jadi,batal
ntakkk cukupp laaa duet sayee min,batal
Bise kureng ke bg hargenye tu?,lainnya
Min toko pas di depan jalan buntu tu ke?,lainnya
Okey,setuju
"Sikat jak bang, biar kamek pakai buat nugas ari itok",setuju
cancel bg,batal
"Skip lok pak, kamek agek banyak pengeluaran",batal
Potong 50 ribu bise lah ye bang?,lainnya
Bang mun nak betolkan laptop kire-kire sampai jam berape?,lainnya
Gas bang,setuju
"Lanjot jak lok bg, nnti malam sye balek kerje saye ambek",setuju
Cancel bang,batal
"Aduh lari dari budget saye bg, kumpulkan duet lok saye ni",batal
Bise kurang agik ndak pak dari 800 tu?,lainnya
kapan ya bnag baru selesai,lainnya
Oke setuju,setuju
"Sikat jak bang, biar kamek pakai buat nugas ari itok",setuju
Daan jadi jak bang,batal
"Bg saye ambek besok jak lah laptopnye, duitnye kurang",batal
Bise nego ndak tu kak?,lainnya
"Kalo misalnye besok, jam berape bise saye ambek?",lainnya
Oke setuju,setuju
"Sikat jak bang, biar kamek pakai buat nugas ari itok",setuju
Ndak jadi,batal
"Aduh lari dari budget saye bg, kumpulkan duet lok saye ni",batal
Bise kurang agik ndak tu hargenye bang?,lainnya
Ngerjekannye berape ari bang?,lainnya
Gas min,setuju
"Aok min, kerjekan jak lok. Tpi jangan diinstal ulang ye datanye",setuju
batal kak,batal
"Lewat lok bang, nunggu gajian bulan depan baru bise",batal
Nd bise kurang ke bang hargenye tu?,lainnya
Bg ngerjakannya berape jam tu?,lainnya
Gas bang,setuju
"Gass bg, asalkan betol-betol bagus lepas diperbaiki",setuju
cancel bg,batal
"lahmak maaf ye bang. kayaknye belom dulu lah ni, blm ad duet ny",batal
Turunkan sikit bise lah bang hargenye?,lainnya
Bg ngerjakannya berape jam tu?,lainnya
oke bg,setuju
"Lanjut jak bg, tpi datanya jgn sampai ilang ye bg",setuju
batal,batal
"Mahal min, gak usah lah",batal
Kurang 100 ribu bise ndak min?,lainnya
Bg ngerjakannya berape jam tu?,lainnya
inpo kalo udah min,setuju
"Lanjot jak lok bg, nnti malam sye balek kerje saye ambek",setuju
Nda usah bang,batal
"Mcmnye belom dolo lah bang, nipis kantong saye",batal
Kurang 100 ribu bise ndak min?,lainnya
buka sampai jam brp min,lainnya
Ok pak,setuju
"Lanjot jak min, tolong kabarin mun dah nyale",setuju
gk jd bg,batal
"Tunda lok ye bang, keperluan agek banyak bulan itok",batal
Turunkan sikit bise lah bang hargenye?,lainnya
Kire-kire maseh bise ditunggu ndak bg?,lainnya
ganti yak bg,setuju
"Kerjekan jak pak, minta tolong dibersihkan debunye sekalian",setuju
Batal min,batal
"Pass lok bang, agek kere kamek ni",batal
Nda bise kurang hargenye tu bang?,lainnya
Kalo ari minggu kitak bukak ndak bang?,lainnya
boleh kak,setuju
"Aok pak, sikat jak. Nnti saye ke situ ambeknye",setuju
gk jd,batal
"Lewat lok bang, nunggu gajian bulan depan baru bise",batal
"800, bisa nd bang",lainnya
Pak estimasi beresnye kire-kire lamak tak?,lainnya
Sip min,setuju
"gass kan yak kak, saye nak make cepat bah soalnye",setuju
lain kali aja bang,batal
"Tahan lok bang, tak cukop dana saye itok",batal
Bise potong harga ndak pak?,lainnya
Jam berape saye bise ke toko bang?,lainnya
Okey,setuju
"Kerjekan jak lok bang, nnti saye transfer dp-nye",setuju
gk jd bg,batal
"Bg saye ambek besok jak lah laptopnye, duitnye kurang",batal
Bise nego ndak tu kak?,lainnya
tokooo tutup jam brpaa yaa minn,lainnya
Setuju bg,setuju
nanti inpokan kalo udah ye,setuju
tak usah yak bg,batal
"Pass lok bang, agek kere kamek ni",batal
"Mahal gak ye, nd bise kurng ke min",lainnya
Alamat lengkapnye di jalan ape ye bang?,lainnya
Lanjot,setuju
"Okeee min, Inpo klo udah",setuju
tak jadi,batal
"ala kak tak cukop dana saye segitu tu, nanti jak la kak",batal
"Mahal gak ye, nd bise kurng ke min",lainnya
Bg lokasi tokonye bise di shareloc ndak?,lainnya
Gas min,setuju
"Aok bang lanjot jak, tpi bsok pagi kamek ambek bise ke?",setuju
Daan jadi jak bang,batal
"Mahal min, gak usah lah",batal
"800, bisa nd bang",lainnya
Alamat lengkapnye di jalan ape ye bang?,lainnya
Bolehhh min,setuju
"gass kan yak kak, saye nak make cepat bah soalnye",setuju
Batal,batal
"Bg saye ambek besok jak lah laptopnye, duitnye kurang",batal
Harganye tak bise kurang sikit ke bg?,lainnya
mana loksasi min,lainnya
boleh kak,setuju
"Aok min, kerjekan jak lok. Tpi jangan diinstal ulang ye datanye",setuju
daan jadi bg,batal
"Skip lok pak, kamek agek banyak pengeluaran",batal
Pas 600 bise ke bang?,lainnya
"Bang, tutup jam 9 pas ke atau bise lebeh?",lainnya
boleh kak,setuju
"Aok bg, gas jak bah nak cepat make kamek ni",setuju
Daan jadi jak bang,batal
kaya nye di batalkan dulu bang service nya,batal
Bise kureng ke bg hargenye tu?,lainnya
Alamat lengkapnye di jalan ape ye bang?,lainnya
Okey,setuju
"Aok bang lanjot jak, tpi bsok pagi kamek ambek bise ke?",setuju
Batal jak bang,batal
nd usah bang. agek butuh makai banyak duet,batal
Bise nego ndak tu kak?,lainnya
Kira-kira berapa hari tu kak?,lainnya
Boleh min,setuju
"Aok bg, betolkan jak lok. Saye ngikut yak",setuju
ga jadi deh kak,batal
kaya nye di batalkan dulu bang service nya,batal
Bise kurang agik ndak pak dari 800 tu?,lainnya
Toko bukak sampay jam berape malam itok?,lainnya
iy bg,setuju
"Gass bah min, cepatkan sikit ye soale saye nak ujian",setuju
Batal pak,batal
"Belom ade rezekinye bang, simpan lok balek",batal
Bise nego ndak bang?,lainnya
Kire-kire maseh bise ditunggu ndak bg?,lainnya
Setuju,setuju
"Okeee min, Inpo klo udah",setuju
Batal min,batal
"Nda bise min, duit kamek cuman 300rbu tok",batal
Potong 50 ribu bise lah ye bang?,lainnya
Ngerjekannye berape ari bang?,lainnya
Ok pak,setuju
"Sikat jak bang, tpi saye nak nunggu disitok bise ke?",setuju
gk jd bg,batal
"Skip lok pak, kamek agek banyak pengeluaran",batal
Halo untuk hargenye bise nd ye bang dikurang kurang lagi. karne saye kire kerusakan di lcd nye nda separah itu. mohon pengertiannye bang,lainnya
Kira-kira berapa hari tu kak?,lainnya
Bolehhh min,setuju
alahmakk kenak dah lcd nye ye. nd apelah bang gas jak biar cepat betol nye. kalo bise hari ini ye bang,setuju
Nd usah,batal
"lahmak maaf ye bang. kayaknye belom dulu lah ni, blm ad duet ny",batal
Kurang 50 bise ndak min?,lainnya
Bg ngerjakannya berape jam tu?,lainnya
lanjut bg,setuju
okeyy bg,setuju
Tarik balek,batal
"Mcmnye belom dolo lah bang, nipis kantong saye",batal
Bise tawar ndak bang hargenye?,lainnya
Toko bukak sampay jam berape malam itok?,lainnya
iy bg,setuju
"gass kan yak kak, saye nak make cepat bah soalnye",setuju
Tak usah,batal
nd usah bang. agek butuh makai banyak duet,batal
Halo untuk hargenye bise nd ye bang dikurang kurang lagi. karne saye kire kerusakan di lcd nye nda separah itu. mohon pengertiannye bang,lainnya
Berapa lama biasenye ngerjekan itu bang?,lainnya
Ok sip,setuju
"Aok min, kerjekan jak lok. Tpi jangan diinstal ulang ye datanye",setuju
Batal pak,batal
"Nda bise min, duit kamek cuman 300rbu tok",batal
Kurengkan sikit bah bang hargenye,lainnya
"Bg, nnti info jam berape bise diambil ye.",lainnya
Ok pak,setuju
"gass kan yak kak, saye nak make cepat bah soalnye",setuju
Nda usah,batal
"Ndak bise diteruskan bang, kamek belom gajian",batal
Ndak bise turun ke hargenye bang?,lainnya
tokooo tutup jam brpaa yaa minn,lainnya
Okey,setuju
"Aok bang, tolong cepatkan jak bah soale nak dipakai begawe",setuju
cancell ajaa min,batal
"Bg saye ambek besok jak lah laptopnye, duitnye kurang",batal
Potong 50 ribu bise lah ye bang?,lainnya
"Bg, nnti info jam berape bise diambil ye.",lainnya
Gas bang,setuju
"Gass bah min, cepatkan sikit ye soale saye nak ujian",setuju
batal kak,batal
"Nanti lok min, kamek nak rundingkan dolo hargenye",batal
Nda bise kurang hargenye tu bang?,lainnya
Jam berape saye bise ke toko bang?,lainnya
oke bg,setuju
"Sikat jak bang, tpi saye nak nunggu disitok bise ke?",setuju
Cancel min,batal
"lahmak maaf ye bang. kayaknye belom dulu lah ni, blm ad duet ny",batal
Pas 600 bise ke bang?,lainnya
kapan ya bnag baru selesai,lainnya
inpo kalo udah min,setuju
"Aok bang, tolong cepatkan jak bah soale nak dipakai begawe",setuju
Ndak usah dolo bang,batal
"Mcmnye belom dolo lah bang, nipis kantong saye",batal
"Mahal gak ye, nd bise kurng ke min",lainnya
Bg lokasi tokonye bise di shareloc ndak?,lainnya
