Message Body,Label
saye ndak jadi dulu,batal
cancel servisnye uangnye kepake,batal
bg setuju ndak pe,setuju
kamek sik jadi kemahalan,batal
bang berapak biaye ndak?,umum_teknis
leptopnye progress ke?,tanya_status
gausah,batal
berapa harga keyboard bang?,umum_teknis
pc nye ganti ndak pe,setuju
pc nye proses,setuju
bang sik jadi lok,batal
pc nye deal,setuju
servisnye udah betul belum?,tanya_status
sip min sih,setuju
servisnye gimana hari ini?,tanya_status
gimana  bg?,tanya_status
ssd bisa benerin ndak?,umum_teknis
bisa benerin,umum_teknis
tutup jam ram,umum_teknis
lcd buka jam bang?,umum_teknis
gak usah lok,batal
udah idup servisnye lom?,tanya_status
okey  jak bang,setuju
bisa nego  bang?,umum_teknis
pc nye udah betul bg?,tanya_status
garansi bang ndak?,umum_teknis
sip jak sih,setuju
kerjakan bang bang,setuju
udah idup min bg?,tanya_status
bang okee ya,setuju
servisnye tunda duitnye tadak,batal
bang tutup jam bg?,umum_teknis
buka jam ssd ndak?,umum_teknis
berapa harga  bang?,umum_teknis
bang tunda bg,batal
lcd berapak biaye,umum_teknis
tunda saye bang,batal
bang oke gak apa,setuju
pc nye udah idup lom?,tanya_status
udah kelar min bang?,tanya_status
min oke bang,setuju
kenapa min,umum_teknis
kamek ndak jadi bg,batal
bg oke sih,setuju
berapak biaye min bang?,umum_teknis
servisnye bisa diambil lom?,tanya_status
min udah kelar,tanya_status
ndak usah bang bg,batal
kamek ga jadi uangnye kepake,batal
ada jual ram ya?,umum_teknis
kenapa toko ndak?,umum_teknis
udah jadi  lom?,tanya_status
cancel uangnye kepake,batal
servisnye udah idup,tanya_status
bang progress bg?,tanya_status
gausah  uangnye kepake,batal
progress  bg?,tanya_status
udah betul bang ke?,tanya_status
sik usah min dulu,batal
gausah kamek uangnye kepake,batal
garansi leptop ya?,umum_teknis
sik jadi  lok,batal
gimana servisnye ke?,tanya_status
pc nye sip ndak pe,setuju
leptop berapa harga bg?,umum_teknis
gak usah servisnye,batal
ndak jadi bang lok,batal
lanjut  bang,setuju
tutup jam ram bang?,umum_teknis
kamek ndak jadi lok,batal
ngape bang ya?,umum_teknis
ssd kenapa ndak?,umum_teknis
garansi ssd ndak?,umum_teknis
jak proses ya,setuju
iya bang sih,setuju
leptopnye udah jadi belum?,tanya_status
pc nye lanjut,setuju
udah jadi leptopnye ke?,tanya_status
progress pc nye bg?,tanya_status
leptopnye iya ndak pe,setuju
bang udah idup bg?,tanya_status
keyboard berapak biaye ndak?,umum_teknis
gausah saye duitnye tadak,batal
min kerjakan gak apa,setuju
iya  ya,setuju
servisnye gausah bang,batal
sip bg sih,setuju
min ada jual ndak?,umum_teknis
jak okee lok,setuju
progress hari ini?,tanya_status
servisnye udah kelar ke?,tanya_status
pc nye bisa diambil ke?,tanya_status
okey jak jak bang,setuju
keyboard berapa harga sik?,umum_teknis
ganti ya,setuju
toko tutup jam ndak?,umum_teknis
kamek gausah duitnye tadak,batal
leptopnye udah jadi bang?,tanya_status
sik jadi min,batal
gak jadi kemahalan,batal
kapan selesai min,tanya_status
udah idup  ke?,tanya_status
ganti pc nye jak bang,setuju
udah jadi pc nye hari ini?,tanya_status
tunda kemahalan,batal
proses  bang,setuju
kerjakan min ya,setuju
keyboard ngape ndak?,umum_teknis
min buka jam ya?,umum_teknis
setuju bang ndak pe,setuju
gimana servisnye belum?,tanya_status
bisa nego leptop,umum_teknis
sampai mana  bg?,tanya_status
toko bisa nego sik?,umum_teknis
udah selesai leptopnye bg?,tanya_status
pc nye sip gak apa,setuju
bang bisa diambil lom?,tanya_status
min udah selesai ke?,tanya_status
udah selesai servisnye,tanya_status
keyboard bisa nego bg?,umum_teknis
buka jam bang ya?,umum_teknis
bang udah idup bang?,tanya_status
sik usah bang bg,batal
sampai mana pc nye,tanya_status
kenapa min ya?,umum_teknis
iya min ya,setuju
kapan selesai bang ke?,tanya_status
proses bang jak bang,setuju
kapan selesai bang lom?,tanya_status
kamek batal duitnye tadak,batal
keyboard garansi bang?,umum_teknis
bang ada jual bg?,umum_teknis
berapa harga ram sik?,umum_teknis
berapak biaye toko,umum_teknis
okey min lok,setuju
servisnye ndak jadi,batal
bang gimana lom?,tanya_status
ok pc nye lok,setuju
min okee ya,setuju
bang udah jadi,tanya_status
cancel saye,batal
ganti bang bang,setuju
ngape lcd ya?,umum_teknis
leptopnye progress hari ini?,tanya_status
lcd ngape sik?,umum_teknis
gak jadi saye dulu,batal
bang sampai mana bang?,tanya_status
min sik usah bang,batal
berapak biaye toko sik?,umum_teknis
min progress ke?,tanya_status
ndak usah bang lok,batal
cancel bang dulu,batal
okee leptopnye sih,setuju
udah selesai  bg?,tanya_status
kerjakan min bang,setuju
batal servisnye dulu,batal
leptopnye udah selesai bang?,tanya_status
berapa harga keyboard ya?,umum_teknis
min oke lok,setuju
leptopnye sip bang,setuju
udah betul min bang?,tanya_status
ga jadi kamek duitnye tadak,batal
bang ga jadi lok,batal
okey,setuju
leptopnye udah idup belum?,tanya_status
berapak biaye keyboard,umum_teknis
oke pc nye,setuju
min sik jadi dulu,batal
ganti jak ndak pe,setuju
keyboard kenapa ya?,umum_teknis
kamek ga jadi bg,batal
saye batal,batal
lcd berapa harga ya?,umum_teknis
udah kelar bang?,tanya_status
pc nye gimana belum?,tanya_status
gimana pc nye,tanya_status
min gak jadi dulu,batal
tunda  lok,batal
bang berapa harga sik?,umum_teknis
batal min,batal
ndak jadi bang,batal
udah kelar min ke?,tanya_status
udah betul bang bg?,tanya_status
sampai mana leptopnye ke?,tanya_status
bg okey sih,setuju
ganti bg bang,setuju
pc nye setuju lok,setuju
bang gas jak bang,setuju
ga jadi min,batal
proses bg jak bang,setuju
toko berapak biaye sik?,umum_teknis
udah idup bang ke?,tanya_status
oke jak sih,setuju
udah idup leptopnye belum?,tanya_status
leptopnye udah betul hari ini?,tanya_status
bisa nego keyboard bang?,umum_teknis
servisnye udah selesai ke?,tanya_status
progress leptopnye bg?,tanya_status
gimana min belum?,tanya_status
toko garansi bang?,umum_teknis
gak usah min dulu,batal
ngape ssd ya?,umum_teknis
tunda saye uangnye kepake,batal
buka jam keyboard ya?,umum_teknis
bg lanjut ya,setuju
udah selesai lom?,tanya_status
sik jadi servisnye kemahalan,batal
keyboard garansi sik?,umum_teknis
leptopnye udah betul lom?,tanya_status
lcd bisa benerin ya?,umum_teknis
progress servisnye ke?,tanya_status
bisa benerin ram bg?,umum_teknis
okey gak apa,setuju
min berapa harga bang?,umum_teknis
pc nye udah selesai bg?,tanya_status
pc nye kapan selesai bang?,tanya_status
ngape ssd ndak?,umum_teknis
proses pc nye jak bang,setuju
min lanjut ya,setuju
leptopnye udah kelar,tanya_status
min okey lok,setuju
lanjut min ya,setuju
servisnye sik jadi bang,batal
kenapa lcd sik?,umum_teknis
lanjut leptopnye bang,setuju
cancel kamek kemahalan,batal
bisa diambil leptopnye ke?,tanya_status
berapa harga bang ya?,umum_teknis
sampai mana servisnye lom?,tanya_status
leptop bisa nego,umum_teknis
kapan selesai pc nye bg?,tanya_status
berapa harga bg?,umum_teknis
cancel kamek,batal
bang gausah duitnye tadak,batal
keyboard bisa benerin sik?,umum_teknis
cancel  bang,batal
sampai mana pc nye lom?,tanya_status
ganti bang jak bang,setuju
ada jual lcd sik?,umum_teknis
proses  ya,setuju
ga jadi kamek uangnye kepake,batal
jak lanjut ndak pe,setuju
gas jak sih,setuju
ga jadi,batal
ngape keyboard sik?,umum_teknis
kamek tunda bang,batal
udah jadi servisnye lom?,tanya_status
gas jak ndak pe,setuju
berapak biaye min sik?,umum_teknis
oke jak gak apa,setuju
bang garansi bg?,umum_teknis
saye sik usah,batal
servisnye progress,tanya_status
udah idup,tanya_status
gimana servisnye,tanya_status
sik jadi saye uangnye kepake,batal
progress min bang?,tanya_status
gak usah min bang,batal
bang garansi bang?,umum_teknis
saye ndak jadi uangnye kepake,batal
ok  lok,setuju
bang proses,setuju
jak iya gak apa,setuju
ndak jadi saye kemahalan,batal
sik usah saye bg,batal
sip jak gak apa,setuju
tunda min uangnye kepake,batal
pc nye lanjut lok,setuju
leptopnye progress,tanya_status
bang okee sih,setuju
batal servisnye kemahalan,batal
lanjut,setuju
min sikat sih,setuju
min buka jam sik?,umum_teknis
ada jual bang?,umum_teknis
min tutup jam ya?,umum_teknis
min iya ya,setuju
berapa harga  ya?,umum_teknis
udah betul min hari ini?,tanya_status
bang udah betul lom?,tanya_status
ndak jadi min bg,batal
bisa nego ram bg?,umum_teknis
ssd bisa benerin,umum_teknis
kamek ndak usah kemahalan,batal
tunda servisnye lok,batal
ga jadi dulu,batal
bisa nego ssd ndak?,umum_teknis
tunda kamek kemahalan,batal
garansi  sik?,umum_teknis
batal bang bang,batal
pc nye progress ke?,tanya_status
min garansi ya?,umum_teknis
kamek batal lok,batal
udah betul min,tanya_status
min udah idup bg?,tanya_status
kenapa keyboard ndak?,umum_teknis
bg lanjut ndak pe,setuju
gimana  ke?,tanya_status
lanjut pc nye jak bang,setuju
pc nye udah kelar,tanya_status
min sampai mana ke?,tanya_status
ga jadi bang dulu,batal
lcd ada jual,umum_teknis
ganti  sih,setuju
kamek sik usah dulu,batal
garansi lcd sik?,umum_teknis
saye tunda,batal
gak usah bang dulu,batal
udah selesai min hari ini?,tanya_status
kamek ndak jadi dulu,batal
gausah uangnye kepake,batal
buka jam lcd bg?,umum_teknis
ganti min bang,setuju
ada jual min sik?,umum_teknis
ndak usah  duitnye tadak,batal
oke bang gak apa,setuju
sik jadi saye kemahalan,batal
sikat min bang,setuju
udah kelar ke?,tanya_status
bang udah idup lom?,tanya_status
sik jadi  dulu,batal
batal bang uangnye kepake,batal
bisa diambil bang?,tanya_status
gas bang ya,setuju
cancel,batal
gimana leptopnye bg?,tanya_status
gak usah kemahalan,batal
sampai mana servisnye,tanya_status
tunda kamek lok,batal
gak usah servisnye bang,batal
sip pc nye jak bang,setuju
ok  ndak pe,setuju
lcd ngape,umum_teknis
bang gimana,tanya_status
saye cancel lok,batal
bg deal lok,setuju
servisnye udah kelar hari ini?,tanya_status
pc nye bisa diambil belum?,tanya_status
udah kelar  bang?,tanya_status
min iya,setuju
gak usah kamek uangnye kepake,batal
kerjakan,setuju
sip jak bang,setuju
servisnye batal kemahalan,batal
ndak usah saye bg,batal
servisnye gak usah uangnye kepake,batal
batal min dulu,batal
ganti ndak pe,setuju
leptop berapak biaye ndak?,umum_teknis
sip bg gak apa,setuju
batal saye dulu,batal
keyboard berapak biaye sik?,umum_teknis
berapa harga lcd sik?,umum_teknis
udah jadi  bg?,tanya_status
buka jam keyboard,umum_teknis
udah selesai bang bg?,tanya_status
leptopnye progress bang?,tanya_status
udah kelar leptopnye bang?,tanya_status
sampai mana  hari ini?,tanya_status
setuju bg ndak pe,setuju
min progress bg?,tanya_status
leptopnye udah jadi lom?,tanya_status
gak jadi  dulu,batal
min ada jual ya?,umum_teknis
min bisa benerin bg?,umum_teknis
sik usah kamek uangnye kepake,batal
ok bang lok,setuju
ada jual ram ndak?,umum_teknis
kenapa leptop,umum_teknis
ndak usah servisnye dulu,batal
cancel  bg,batal
leptopnye iya ya,setuju
batal  duitnye tadak,batal
gas sih,setuju
kapan selesai pc nye bang?,tanya_status
saye gausah lok,batal
min udah betul,tanya_status
ga jadi saye lok,batal
ngape  sik?,umum_teknis
bisa nego bang ya?,umum_teknis
udah idup belum?,tanya_status
ssd ngape ya?,umum_teknis
ssd ada jual sik?,umum_teknis
min proses sih,setuju
bang udah selesai lom?,tanya_status
gausah  dulu,batal
lanjut bg bang,setuju
kerjakan jak bang,setuju
min sik jadi bang,batal
pc nye ganti sih,setuju
udah kelar servisnye ke?,tanya_status
servisnye sik jadi bg,batal
saye ndak jadi bang,batal
gak usah servisnye bg,batal
leptopnye sip,setuju
setuju min jak bang,setuju
servisnye ndak jadi uangnye kepake,batal
bang udah betul ke?,tanya_status
servisnye ndak usah dulu,batal
gausah min uangnye kepake,batal
bisa diambil bg?,tanya_status
pc nye gas,setuju
lanjut bg ya,setuju
bang batal dulu,batal
okee  jak bang,setuju
gak jadi min lok,batal
leptop buka jam bang?,umum_teknis
bisa diambil bang ke?,tanya_status
lcd buka jam sik?,umum_teknis
tutup jam  bang?,umum_teknis
pc nye udah selesai,tanya_status
min batal kemahalan,batal
cancel min lok,batal
bisa nego bang sik?,umum_teknis
bang ada jual sik?,umum_teknis
batal  kemahalan,batal
bang gas bang,setuju
min ndak usah bg,batal
min tunda lok,batal
leptopnye ok jak bang,setuju
ga jadi min duitnye tadak,batal
gimana bang,tanya_status
servisnye tunda dulu,batal
berapa harga ssd ya?,umum_teknis
toko bisa benerin bang?,umum_teknis
tutup jam  ndak?,umum_teknis
lanjut min jak bang,setuju
gak usah bg,batal
servisnye gimana lom?,tanya_status
bg okee ya,setuju
pc nye deal bang,setuju
min buka jam bang?,umum_teknis
min setuju,setuju
sip  sih,setuju
setuju pc nye ya,setuju
lcd bisa nego bang?,umum_teknis
batal  bang,batal
kerjakan leptopnye ya,setuju
udah betul bang belum?,tanya_status
lanjut  ya,setuju
bisa benerin bang sik?,umum_teknis
jak oke jak bang,setuju
bang ndak jadi duitnye tadak,batal
pc nye kapan selesai hari ini?,tanya_status
ndak usah  uangnye kepake,batal
min berapak biaye sik?,umum_teknis
gausah bang dulu,batal
ram ada jual sik?,umum_teknis
min ganti,setuju
gausah kamek dulu,batal
ada jual leptop bg?,umum_teknis
kamek ga jadi duitnye tadak,batal
sip leptopnye lok,setuju
ngape sik?,umum_teknis
bang buka jam,umum_teknis
sik jadi kamek bang,batal
ngape ram,umum_teknis
ok min jak bang,setuju
min ndak jadi duitnye tadak,batal
min udah betul hari ini?,tanya_status
ndak usah duitnye tadak,batal
ndak usah bang dulu,batal
gimana servisnye lom?,tanya_status
udah betul leptopnye bg?,tanya_status
setuju  jak bang,setuju
bang udah betul,tanya_status
udah betul servisnye lom?,tanya_status
ngape ssd sik?,umum_teknis
bisa benerin toko bg?,umum_teknis
ga jadi saye uangnye kepake,batal
kapan selesai servisnye lom?,tanya_status
pc nye gimana ke?,tanya_status
berapa harga toko sik?,umum_teknis
toko bisa benerin bg?,umum_teknis
kamek sik jadi lok,batal
ndak usah uangnye kepake,batal
bang berapak biaye ya?,umum_teknis
sip leptopnye bang,setuju
bisa nego lcd,umum_teknis
ok  jak bang,setuju
jak setuju bang,setuju
ganti bang,setuju
tunda min,batal
gimana servisnye hari ini?,tanya_status
bang ndak usah kemahalan,batal
jak gas,setuju
min udah betul bang?,tanya_status
saye ga jadi bg,batal
bang tutup jam sik?,umum_teknis
tunda  bang,batal
min udah kelar ke?,tanya_status
sik usah servisnye dulu,batal
kapan selesai servisnye belum?,tanya_status
ndak jadi min,batal
cancel bang uangnye kepake,batal
deal min,setuju
gak usah saye bang,batal
ssd kenapa ya?,umum_teknis
kamek gak usah lok,batal
pc nye bisa diambil bang?,tanya_status
sampai mana bang,tanya_status
sikat bang jak bang,setuju
ga jadi min bg,batal
ganti pc nye lok,setuju
berapa harga ssd,umum_teknis
batal saye,batal
setuju bang bang,setuju
toko ada jual ya?,umum_teknis
okey min,setuju
kenapa bg?,umum_teknis
bang tutup jam bang?,umum_teknis
okey jak ya,setuju
gas ndak pe,setuju
bang iya lok,setuju
gausah kamek bang,batal
lcd buka jam ndak?,umum_teknis
kamek gausah dulu,batal
lcd ngape ndak?,umum_teknis
ndak usah  dulu,batal
udah betul servisnye,tanya_status
min kenapa bang?,umum_teknis
tunda servisnye uangnye kepake,batal
bang gak jadi uangnye kepake,batal
berapak biaye toko bg?,umum_teknis
min iya gak apa,setuju
kerjakan lok,setuju
min ndak usah duitnye tadak,batal
setuju bang lok,setuju
bisa benerin bang ndak?,umum_teknis
lanjut bang bang,setuju
ngape leptop ndak?,umum_teknis
setuju jak lok,setuju
bang batal duitnye tadak,batal
bisa nego bang bang?,umum_teknis
udah selesai hari ini?,tanya_status
ndak usah servisnye bang,batal
okee leptopnye bang,setuju
min tutup jam ndak?,umum_teknis
saye gak usah kemahalan,batal
leptopnye gas,setuju
leptopnye sikat gak apa,setuju
ram garansi,umum_teknis
oke gak apa,setuju
buka jam lcd sik?,umum_teknis
udah jadi bang,tanya_status
buka jam bang sik?,umum_teknis
bang lanjut bang,setuju
gas bg,setuju
proses jak jak bang,setuju
udah betul belum?,tanya_status
kamek cancel bang,batal
leptopnye sampai mana,tanya_status
bisa benerin  ya?,umum_teknis
bisa nego bg?,umum_teknis
min ga jadi lok,batal
gausah duitnye tadak,batal
sikat pc nye bang,setuju
gimana bang bang?,tanya_status
sampai mana  lom?,tanya_status
min udah betul bg?,tanya_status
ram kenapa sik?,umum_teknis
servisnye ga jadi dulu,batal
pc nye progress hari ini?,tanya_status
toko ada jual,umum_teknis
sik jadi uangnye kepake,batal
min sik usah kemahalan,batal
leptopnye iya sih,setuju
servisnye udah idup hari ini?,tanya_status
kenapa toko bg?,umum_teknis
servisnye cancel,batal
gausah servisnye,batal
progress min belum?,tanya_status
bg kerjakan ya,setuju
okey pc nye sih,setuju
kenapa keyboard bang?,umum_teknis
progress bang,tanya_status
gak jadi kamek,batal
iya min lok,setuju
lanjut bg jak bang,setuju
berapa harga bang sik?,umum_teknis
ganti bang gak apa,setuju
pc nye sampai mana lom?,tanya_status
kamek ndak jadi uangnye kepake,batal
progress leptopnye ke?,tanya_status
tutup jam toko bg?,umum_teknis
servisnye udah jadi bang?,tanya_status
min progress bang?,tanya_status
leptopnye udah jadi ke?,tanya_status
sik usah servisnye bg,batal
bisa diambil servisnye bg?,tanya_status
kapan selesai bg?,tanya_status
saye gak jadi dulu,batal
gak usah kamek bg,batal
servisnye kapan selesai hari ini?,tanya_status
bang kenapa,umum_teknis
ssd berapak biaye bg?,umum_teknis
ndak jadi bang bg,batal
ndak usah min uangnye kepake,batal
sikat pc nye sih,setuju
ssd bisa benerin ya?,umum_teknis
bang sampai mana,tanya_status
ndak usah kamek uangnye kepake,batal
ssd ngape bang?,umum_teknis
kapan selesai  bg?,tanya_status
sip leptopnye ndak pe,setuju
min cancel uangnye kepake,batal
leptopnye udah selesai lom?,tanya_status
udah jadi servisnye bg?,tanya_status
min lanjut lok,setuju
leptop berapa harga ndak?,umum_teknis
bang cancel lok,batal
bang kapan selesai lom?,tanya_status
ssd bisa benerin bang?,umum_teknis
keyboard bisa nego bang?,umum_teknis
bg gas bang,setuju
bang gak usah dulu,batal
sampai mana bang hari ini?,tanya_status
gak usah  lok,batal
lanjut  lok,setuju
bg deal ndak pe,setuju
tunda saye lok,batal
kamek ga jadi kemahalan,batal
min ganti bang,setuju
udah betul leptopnye lom?,tanya_status
gak usah servisnye lok,batal
leptopnye udah idup hari ini?,tanya_status
saye ga jadi bang,batal
tutup jam keyboard bg?,umum_teknis
udah jadi leptopnye belum?,tanya_status
udah betul bang?,tanya_status
toko bisa benerin ya?,umum_teknis
leptop bisa benerin bg?,umum_teknis
garansi ram sik?,umum_teknis
bang buka jam ndak?,umum_teknis
bang deal ya,setuju
ga jadi saye dulu,batal
okey leptopnye lok,setuju
bisa benerin min bg?,umum_teknis
bang gak jadi lok,batal
kapan selesai servisnye hari ini?,tanya_status
bang tutup jam,umum_teknis
kapan selesai  lom?,tanya_status
kerjakan min lok,setuju
deal leptopnye ya,setuju
min ok,setuju
saye batal kemahalan,batal
okey bg ya,setuju
gak jadi bang bang,batal
pc nye udah idup bg?,tanya_status
bang berapa harga ya?,umum_teknis
toko ngape,umum_teknis
kapan selesai  hari ini?,tanya_status
bisa benerin bg?,umum_teknis
sik usah min kemahalan,batal
min gausah bang,batal
ram bisa nego bang?,umum_teknis
okey pc nye ndak pe,setuju
iya bang bang,setuju
min garansi ndak?,umum_teknis
lcd bisa benerin sik?,umum_teknis
setuju  gak apa,setuju
leptop garansi,umum_teknis
bg ok ndak pe,setuju
udah jadi pc nye bang?,tanya_status
oke  jak bang,setuju
leptopnye udah betul,tanya_status
jak ganti bang,setuju
gak jadi min bang,batal
udah jadi leptopnye hari ini?,tanya_status
gas gak apa,setuju
bg iya gak apa,setuju
ram bisa benerin bang?,umum_teknis
min batal bang,batal
servisnye gak jadi lok,batal
progress pc nye,tanya_status
leptopnye oke gak apa,setuju
bg gas ndak pe,setuju
bg okey ya,setuju
min batal duitnye tadak,batal
berapa harga bang bg?,umum_teknis
sik jadi bg,batal
iya bg gak apa,setuju
bisa diambil bang hari ini?,tanya_status
garansi min sik?,umum_teknis
udah betul  bg?,tanya_status
ndak jadi servisnye uangnye kepake,batal
leptopnye progress belum?,tanya_status
pc nye udah kelar hari ini?,tanya_status
tutup jam ya?,umum_teknis
sampai mana min bang?,tanya_status
min iya bang,setuju
setuju bang sih,setuju
ndak jadi bang bang,batal
udah jadi min belum?,tanya_status
kenapa lcd,umum_teknis
ok min ya,setuju
sampai mana bang bg?,tanya_status
udah betul servisnye bg?,tanya_status
lcd kenapa bang?,umum_teknis
udah jadi bang lom?,tanya_status
kenapa toko sik?,umum_teknis
ngape lcd bg?,umum_teknis
jak setuju ndak pe,setuju
leptopnye kapan selesai bang?,tanya_status
batal saye kemahalan,batal
lanjut bang,setuju
udah betul servisnye hari ini?,tanya_status
leptopnye oke ndak pe,setuju
kamek gak usah bg,batal
kapan selesai pc nye ke?,tanya_status
kerjakan  gak apa,setuju
okey jak ndak pe,setuju
gas pc nye,setuju
kapan selesai,tanya_status
kenapa bang sik?,umum_teknis
leptopnye gas gak apa,setuju
pc nye deal gak apa,setuju
toko ada jual ndak?,umum_teknis
batal kemahalan,batal
ram bisa benerin ya?,umum_teknis
bang udah kelar bg?,tanya_status
gimana lom?,tanya_status
sampai mana belum?,tanya_status
gak usah bang lok,batal
bang tunda dulu,batal
udah selesai belum?,tanya_status
min ndak jadi uangnye kepake,batal
okey bg ndak pe,setuju
bang okee,setuju
buka jam lcd,umum_teknis
ndak usah saye uangnye kepake,batal
bang udah selesai hari ini?,tanya_status
min udah idup lom?,tanya_status
jak kerjakan jak bang,setuju
pc nye kapan selesai belum?,tanya_status
min kapan selesai,tanya_status
gausah min bang,batal
berapa harga ram ndak?,umum_teknis
bang ok lok,setuju
sik usah uangnye kepake,batal
bang bisa diambil bang?,tanya_status
saye sik jadi bang,batal
keyboard ada jual sik?,umum_teknis
ram ada jual bg?,umum_teknis
saye ga jadi lok,batal
iya pc nye bang,setuju
bisa diambil min bg?,tanya_status
jak deal sih,setuju
gimana min bang?,tanya_status
gak usah kamek bang,batal
udah kelar hari ini?,tanya_status
buka jam ram bang?,umum_teknis
kamek ndak jadi,batal
servisnye bisa diambil hari ini?,tanya_status
bang batal bang,batal
servisnye sampai mana bang?,tanya_status
min ngape bang?,umum_teknis
min sampai mana lom?,tanya_status
jak sip ndak pe,setuju
leptopnye deal bang,setuju
bang kerjakan ndak pe,setuju
pc nye udah betul hari ini?,tanya_status
tutup jam leptop bg?,umum_teknis
ssd ngape ndak?,umum_teknis
bang bisa diambil bg?,tanya_status
buka jam  bang?,umum_teknis
saye ndak usah duitnye tadak,batal
setuju bg bang,setuju
progress pc nye bang?,tanya_status
sampai mana min lom?,tanya_status
min gimana hari ini?,tanya_status
setuju bg ya,setuju
servisnye udah betul hari ini?,tanya_status
bisa nego ssd sik?,umum_teknis
udah kelar leptopnye hari ini?,tanya_status
leptopnye udah jadi bg?,tanya_status
gak usah kamek,batal
berapak biaye  ndak?,umum_teknis
min progress belum?,tanya_status
udah idup bang bang?,tanya_status
setuju min sih,setuju
oke min ndak pe,setuju
min cancel,batal
bang lanjut gak apa,setuju
berapak biaye keyboard bang?,umum_teknis
lcd berapa harga sik?,umum_teknis
pc nye kerjakan ya,setuju
sip  gak apa,setuju
min berapak biaye,umum_teknis
bisa diambil bang lom?,tanya_status
servisnye udah selesai bang?,tanya_status
deal bang,setuju
saye batal bang,batal
ndak usah saye duitnye tadak,batal
sik jadi min bg,batal
leptop bisa benerin,umum_teknis
garansi lcd ya?,umum_teknis
pc nye kapan selesai,tanya_status
ssd garansi bg?,umum_teknis
saye sik usah dulu,batal
batal min bang,batal
sikat jak jak bang,setuju
sik jadi min kemahalan,batal
leptopnye sikat ndak pe,setuju
bisa nego ram ndak?,umum_teknis
deal leptopnye sih,setuju
bang proses jak bang,setuju
sik usah bang bang,batal
leptopnye ok bang,setuju
okey leptopnye ya,setuju
ga jadi saye,batal
cancel servisnye bang,batal
min berapa harga ya?,umum_teknis
bisa nego ssd,umum_teknis
min bisa diambil hari ini?,tanya_status
buka jam lcd ndak?,umum_teknis
saye ndak usah uangnye kepake,batal
toko berapa harga sik?,umum_teknis
iya bg ya,setuju
kenapa min sik?,umum_teknis
udah kelar pc nye,tanya_status
ssd kenapa sik?,umum_teknis
kerjakan leptopnye jak bang,setuju
pc nye ok ndak pe,setuju
bang oke ndak pe,setuju
min ngape sik?,umum_teknis
gak jadi  bg,batal
garansi min bg?,umum_teknis
ga jadi duitnye tadak,batal
bg ok sih,setuju
jak gas lok,setuju
min gimana bang?,tanya_status
progress  bang?,tanya_status
berapa harga min ndak?,umum_teknis
servisnye sik jadi duitnye tadak,batal
servisnye ga jadi lok,batal
servisnye gimana bg?,tanya_status
