text,intent,source,clean_text
bang laptop saya belum kah,lainnya,real,bang laptop saya belum kah
Besok bararti bisa udah saya ambil bang?,batal,real,besok bararti bisa udah saya ambil bang
"Oke bg terimakasih
Nnti saya ambl laptop nya",setuju,real,"oke bg terimakasih
nnti saya ambl laptop nya"
"nanti aja, batal aja",batal,synthetic,nanti aja batal aja
Oh oke boleh bg,setuju,real,oh oke boleh bg
"Waalaikumsalam, baik Bang, terimakasih Bang",lainnya,real,waalaikumsalam baik bang terimakasih bang
"ooh oke"" kak perbaiki saja ya disitu nanti kl udh selesai kabarin",setuju,real,ooh oke kak perbaiki saja ya disitu nanti kl udh selesai kabarin
Iya lah kak,setuju,real,iya lah kak
Yang harga 600 RB tadi,lainnya,real,yang harga 600 rb tadi
Bg waktu itu kan reset leptop kate abg masih bise pulihkan,lainnya,real,bg waktu itu kan reset leptop kate abg masih bise pulihkan
iyaa boleh bang,setuju,real,iyaa boleh bang
bg saya tf byr ny,batal,real,bg saya tf byr ny
Bise tolong nd bang,lainnya,real,bise tolong nd bang
Okey bang,setuju,real,okey bang
Bisa dicek gak.,lainnya,real,bisa dicek gak
Besok siang ya bang saya ambil nda pape ke?,lainnya,real,besok siang ya bang saya ambil nda pape ke
Owh iya bang,lainnya,real,owh iya bang
Jadi itu skrg bisa hidup ka bang masih?,lainnya,real,jadi itu skrg bisa hidup ka bang masih
Sudah bisa bang,batal,real,sudah bisa bang
untuk layarnye aman nd bg? abang udh cobe hidupin belum?,lainnya,real,untuk layarnye aman nd bg abang udh cobe hidupin belum
Ganti ssd 128 gak kurang lagi.,batal,real,ganti ssd 128 gak kurang lagi
ok bng saya otw skrg,batal,real,ok bng saya otw skrg
okee makasihhh banggg,setuju,real,okee makasihhh banggg
HHD internalnya bisa di casingin dak,batal,real,hhd internalnya bisa di casingin dak
Iya bng siap,setuju,real,iya bng siap
makasi ya bang,lainnya,real,makasi ya bang
Ndk tau juga si bg,lainnya,real,ndk tau juga si bg
gausah kalik ya cmn 1 doang,batal,real,gausah kalik ya cmn 1 doang
Bang sya sdh jln ksna,batal,real,bang sya sdh jln ksna
Bang,lainnya,real,bang
Kalau bisa Senin udh bisa diambil ya bang,lainnya,real,kalau bisa senin udh bisa diambil ya bang
Oke bg info jak nanti ye,setuju,real,oke bg info jak nanti ye
mode malam nya juga gabisa di aktifin,batal,real,mode malam nya juga gabisa di aktifin
Gitu ya bang jadi bang lep top nya ndk bisa di betul kan??,lainnya,real,gitu ya bang jadi bang lep top nya ndk bisa di betul kan
okee lanjutkan service nya bang kalau udah selesai konfirmasi yaa,setuju,real,okee lanjutkan service nya bang kalau udah selesai konfirmasi yaa
Kira2 tutup ny jam berapa ya bang?,lainnya,real,kira2 tutup ny jam berapa ya bang
sudah bisa,setuju,real,sudah bisa
yauda ganti dlu aja bg,batal,real,yauda ganti dlu aja bg
"2013
maaf baru aktif bang 🙏",lainnya,real,"2013
maaf baru aktif bang"
Gimana Progress labtob sekarang bang??,lainnya,real,gimana progress labtob sekarang bang
boleh katanya bg,lainnya,real,boleh katanya bg
Iya kah kak gimana persyaratannya,lainnya,real,iya kah kak gimana persyaratannya
yg proposal penelitian lada jak,lainnya,real,yg proposal penelitian lada jak
Brp ye bang DP ny?,lainnya,real,brp ye bang dp ny
Jadinya berapa bang ..klau nambah banyak ndk tu bang .,lainnya,real,jadinya berapa bang klau nambah banyak ndk tu bang
ad bang makasih ya,lainnya,real,ad bang makasih ya
besok yaa bang,lainnya,real,besok yaa bang
kalau pakai mouse bisa,lainnya,real,kalau pakai mouse bisa
Iya kak lanjutkan 🙏🏻,setuju,real,iya kak lanjutkan
dimana lah tu ye bang,lainnya,real,dimana lah tu ye bang
laptop maksud saye,lainnya,real,laptop maksud saye
Pagi bg,lainnya,real,pagi bg
batal,batal,synthetic,batal
oke baik bg,setuju,real,oke baik bg
Tadi gak keburu jdi krja dulu,batal,real,tadi gak keburu jdi krja dulu
keyboard ny masih nd bise ke bang,lainnya,real,keyboard ny masih nd bise ke bang
Ok bng,batal,real,ok bng
Besok bukak jam brpe bang,lainnya,real,besok bukak jam brpe bang
Pas abis dipakai kak,lainnya,real,pas abis dipakai kak
Di leptop tu,lainnya,real,di leptop tu
【AUDIO】,batal,real,audio
Skripsi sih bg,lainnya,real,skripsi sih bg
sama harganya berapa bang?,lainnya,real,sama harganya berapa bang
Oke kk,setuju,real,oke kk
Apk Nya terapus semua nda bang,lainnya,real,apk nya terapus semua nda bang
oke gas bg,setuju,real,oke gas bg
sip,setuju,real,sip
gmn ya,lainnya,real,gmn ya
oke bang boleh bang ganti keyboard nya juga,lainnya,real,oke bang boleh bang ganti keyboard nya juga
"oke bg, bentar ya",batal,real,oke bg bentar ya
bg kirim no rek,lainnya,real,bg kirim no rek
engsel laptop kmrn tu yg kata abgnya agak goyang gmn tu kak?,lainnya,real,engsel laptop kmrn tu yg kata abgnya agak goyang gmn tu kak
Oke bg nanti laptop ny saya ambil ke toko,setuju,real,oke bg nanti laptop ny saya ambil ke toko
"okei kak, besok kalo udh selesai.
Kabarin aja yaa kak, Terima Kasih",batal,real,"okei kak besok kalo udh selesai
kabarin aja yaa kak terima kasih"
Dan masih bisa di pakai sebagai external harddisk kan,lainnya,real,dan masih bisa di pakai sebagai external harddisk kan
sudah bnv,batal,real,sudah bnv
Ndk bng soalnye ndk ngerti lepaskan e gmne,lainnya,real,ndk bng soalnye ndk ngerti lepaskan e gmne
Oh iyalah jam 3 saya ambil..,setuju,real,oh iyalah jam 3 saya ambil
jadi gmn bg udh di periksa kah laptopnya?,lainnya,real,jadi gmn bg udh di periksa kah laptopnya
Jdi udh bisa di ambil ya? Total berapa jadinya kk?,lainnya,real,jdi udh bisa di ambil ya total berapa jadinya kk
"di Sini bisa Jual Laptop Seken,,",lainnya,real,di sini bisa jual laptop seken
kalau masalah tambah ram nya itu berapa ya bang biaya nya ?,lainnya,real,kalau masalah tambah ram nya itu berapa ya bang biaya nya
Baik bg,setuju,real,baik bg
Cmn die blg ndk bse,batal,real,cmn die blg ndk bse
oke bg nanti diambil,setuju,real,oke bg nanti diambil
Oke bang lanjut perbaiki,setuju,real,oke bang lanjut perbaiki
Berapa semuanya ongkosnya bang,lainnya,real,berapa semuanya ongkosnya bang
Bang bisa minta bukti pembayaran Ndak orang rumah mau Liat tkut sye dibilang bohong pla 😅,lainnya,real,bang bisa minta bukti pembayaran ndak orang rumah mau liat tkut sye dibilang bohong pla
"selamat malam juga bang, tadi saya udah kasih tau orang tua untuk biayanya. Kata bapak mama saya servicenya ditunda dulu jadi besok siang saya ambil laptopnya di toko",batal,real,selamat malam juga bang tadi saya udah kasih tau orang tua untuk biayanya kata bapak mama saya servicenya ditunda dulu jadi besok siang saya ambil laptopnya di toko
Okok siap bg,setuju,real,okok siap bg
bg bisa qris/tf nd?,lainnya,real,bg bisa qristf nd
"mau pake laptopnya, cancel aja",batal,synthetic,mau pake laptopnya cancel aja
"Bang, untuk leptop nya bagaimana yaa?",lainnya,real,bang untuk leptop nya bagaimana yaa
"🔄 *Pesan pengingat agar nomormu aman*

Pastikan pulsa kamu selalu cukup untuk tetap menikmati koneksi IM3. Informasi dan layanan isi ulang pulsa dapat diakses langsung lewat IM3 WhatsApp.

Klik *Isi Pulsa* untuk melanjutkan.",lainnya,real,"pesan pengingat agar nomormu aman

pastikan pulsa kamu selalu cukup untuk tetap menikmati koneksi im3 informasi dan layanan isi ulang pulsa dapat diakses langsung lewat im3 whatsapp

klik isi pulsa untuk melanjutkan"
jambrp tutup toko?,lainnya,real,jambrp tutup toko
iya santai jak kak,setuju,real,iya santai jak kak
Balom sampat,batal,real,balom sampat
Terus itu gimna ya bang,lainnya,real,terus itu gimna ya bang
maaf kak kepencet,lainnya,real,maaf kak kepencet
Udah kah min,lainnya,real,udah kah min
Jam brpa tutup tokonya bang,lainnya,real,jam brpa tutup tokonya bang
"Klo untuk cas kadang masuk kadang enggak itu gimana Bang, dr Laptopnya atau casannya yg rusak?",lainnya,real,klo untuk cas kadang masuk kadang enggak itu gimana bang dr laptopnya atau casannya yg rusak
"Baik terimakasih infonya, saya ambil besok pagi saja",setuju,real,baik terimakasih infonya saya ambil besok pagi saja
Waalaikumsalam oke bang,setuju,real,waalaikumsalam oke bang
Siang bang.,lainnya,real,siang bang
Klo gtu gmne la bg,lainnya,real,klo gtu gmne la bg
Oke... Ditunggu info lanjutan. Setelah cek ulang. TRIms 🙏,setuju,real,oke ditunggu info lanjutan setelah cek ulang trims
"siang kak, mau tanya ganti baterai laptop dell inspiron 5405 bs ga ya",lainnya,real,siang kak mau tanya ganti baterai laptop dell inspiron 5405 bs ga ya
klo cas laptop acer berapa,lainnya,real,klo cas laptop acer berapa
Jadi gimana,lainnya,real,jadi gimana
malam kak,lainnya,real,malam kak
maksud saya minta instal kan ke windows pas laptop saya sebelum di install,lainnya,real,maksud saya minta instal kan ke windows pas laptop saya sebelum di install
Berapa biayanya bang?,lainnya,real,berapa biayanya bang
Data nya ilang ga klo instal ulang?,lainnya,real,data nya ilang ga klo instal ulang
Mau bang,lainnya,real,mau bang
kl tinggal 27 itu pemakaian masih brp lama bang,lainnya,real,kl tinggal 27 itu pemakaian masih brp lama bang
Baiklah kak,setuju,real,baiklah kak
dengan layar nye juga ye bg,lainnya,real,dengan layar nye juga ye bg
kalau boleh tau buka dri jam brp bg?,lainnya,real,kalau boleh tau buka dri jam brp bg
tahan jak lok bang,lainnya,real,tahan jak lok bang
iyaa bang konfirmasi lagi yaa,setuju,real,iyaa bang konfirmasi lagi yaa
smlm masih bisa,lainnya,real,smlm masih bisa
jujur saya bru pertama kli kenak gini bg😭,lainnya,real,jujur saya bru pertama kli kenak gini bg
jangan bang,lainnya,real,jangan bang
ganti katanya bg,lainnya,real,ganti katanya bg
Malam bang.. Hardisk yang ekternalnya kok gak bisa kebaca ya dari kemarin ya.,lainnya,real,malam bang hardisk yang ekternalnya kok gak bisa kebaca ya dari kemarin ya
besok jak kak,lainnya,real,besok jak kak
Sian harapan ke dah ratinye selaing ganti masen,lainnya,real,sian harapan ke dah ratinye selaing ganti masen
"bg, ttup?",lainnya,real,bg ttup
Ok siap,setuju,real,ok siap
Iye bg😭,setuju,real,iye bg
bisa tukar tambah ga ya bg😁,lainnya,real,bisa tukar tambah ga ya bg
Boleh bg. Nanti klo sudah selesai infokn saja,batal,real,boleh bg nanti klo sudah selesai infokn saja
Okeee,setuju,real,okeee
Bg ada garansinya nda ya kalau udah ganti frame,batal,real,bg ada garansinya nda ya kalau udah ganti frame
Kapan bisa di ambil?,lainnya,real,kapan bisa di ambil
Die kire saye yg nyuruh,batal,real,die kire saye yg nyuruh
"Total semua segitu ya, Boleh. Terimakasih",setuju,real,total semua segitu ya boleh terimakasih
Ok lh bang.yg pnting aman,batal,real,ok lh bangyg pnting aman
Jadi untuk perbaikannya apa2 saja ya Bg?,lainnya,real,jadi untuk perbaikannya apa2 saja ya bg
jauh bgt kak kalau bolak balik😭,lainnya,real,jauh bgt kak kalau bolak balik
touchscreen sm keyboard brarti ya,lainnya,real,touchscreen sm keyboard brarti ya
bang gajadi servis ya uangnya belum ada,batal,synthetic,bang gajadi servis ya uangnya belum ada
Iya,setuju,real,iya
Masalah lain gak ada bang?,lainnya,real,masalah lain gak ada bang
"kira kira kalo saya mau jual macbook pro 2017 touchbar 15"", dapat di berapa ya?",lainnya,real,kira kira kalo saya mau jual macbook pro 2017 touchbar 15 dapat di berapa ya
Tokonya jam berapa tutup ya mba,lainnya,real,tokonya jam berapa tutup ya mba
Malam ini bisa ya?,lainnya,real,malam ini bisa ya
Okke sore ya,lainnya,real,okke sore ya
"Oke, besok pagi saya ambil",setuju,real,oke besok pagi saya ambil
malam masih buka gak,lainnya,real,malam masih buka gak
bercak bercak nye nd bisa hilang ke bang,lainnya,real,bercak bercak nye nd bisa hilang ke bang
"waalaikumsalam, okee bang nanti saya ambil yaa",setuju,real,waalaikumsalam okee bang nanti saya ambil yaa
tiba-tiba jak bang,lainnya,real,tibatiba jak bang
okey bang terimakasih,setuju,real,okey bang terimakasih
Besok buka bg ??,lainnya,real,besok buka bg
Nda ade saye ape2 kan padahal,lainnya,real,nda ade saye ape2 kan padahal
Ada mines nya gak bang,lainnya,real,ada mines nya gak bang
Waalaikumsalam,lainnya,real,waalaikumsalam
iya kak,setuju,real,iya kak
mlm ttp jam 9 juga ya,batal,real,mlm ttp jam 9 juga ya
Makanya saya tidak ganti kak,batal,real,makanya saya tidak ganti kak
tolong sampe bisa nyaman aman sentosa yaa kak🙏🏻,lainnya,real,tolong sampe bisa nyaman aman sentosa yaa kak
Nanti kalau sudah selesai kasi tau ya kak,lainnya,real,nanti kalau sudah selesai kasi tau ya kak
siang kak jadi gmn kak laptopnya?,lainnya,real,siang kak jadi gmn kak laptopnya
Kemaren bagus tu bng.,lainnya,real,kemaren bagus tu bng
"gajadi, pembelian laptopnya belum siap",batal,synthetic,gajadi pembelian laptopnya belum siap
Makasih bg🙏🏻,lainnya,real,makasih bg
Yang penting word ny nda bermasalah lg,lainnya,real,yang penting word ny nda bermasalah lg
"waalaikumsalam bang, besok ya",lainnya,real,waalaikumsalam bang besok ya
kenak harga brp bang kalo ganti frame depan belakang,lainnya,real,kenak harga brp bang kalo ganti frame depan belakang
"Waduh saya lagi diluar ni bang, tokonya buka sampai jam berapa bang?",lainnya,real,waduh saya lagi diluar ni bang tokonya buka sampai jam berapa bang
Oke kak info jak,setuju,real,oke kak info jak
Ok kpn jadinya,lainnya,real,ok kpn jadinya
Udh ya bg,batal,real,udh ya bg
stju,setuju,synthetic_typo,stju
stuju,setuju,synthetic_typo,stuju
setju,setuju,synthetic_typo,setju
stuju bg,setuju,synthetic_typo,stuju bg
stju bang,setuju,synthetic_typo,stju bang
stju ya,setuju,synthetic_typo,stju ya
ok,setuju,synthetic_typo,ok
oke,setuju,synthetic_typo,oke
ok bg,setuju,synthetic_typo,ok bg
okelah,setuju,synthetic_typo,okelah
oke kerjain aja,setuju,synthetic_typo,oke kerjain aja
oke kerjain aja bg,setuju,synthetic_typo,oke kerjain aja bg
oke bg,setuju,synthetic_typo,oke bg
ok ya,setuju,synthetic_typo,ok ya
lanjut,setuju,synthetic_typo,lanjut
lanjut bg,setuju,synthetic_typo,lanjut bg
lnjt,setuju,synthetic_typo,lnjt
lanjutkan,setuju,synthetic_typo,lanjutkan
gass,setuju,synthetic_typo,gass
gas bg,setuju,synthetic_typo,gas bg
y,setuju,synthetic_typo,y
y bg,setuju,synthetic_typo,y bg
ya bg,setuju,synthetic_typo,ya bg
y sdah,setuju,synthetic_typo,y sdah
yowes,setuju,synthetic_typo,yowes
ok gas,setuju,synthetic_typo,ok gas
btl,batal,synthetic_typo,btl
btl bg,batal,synthetic_typo,btl bg
batalin,batal,synthetic_typo,batalin
batalin aja,batal,synthetic_typo,batalin aja
batalin aja bg,batal,synthetic_typo,batalin aja bg
batalin bg,batal,synthetic_typo,batalin bg
ga jadi,batal,synthetic_typo,ga jadi
gajadi,batal,synthetic_typo,gajadi
gak jadi,batal,synthetic_typo,gak jadi
gk jd,batal,synthetic_typo,gk jd
gk jdi,batal,synthetic_typo,gk jdi
gk jd bg,batal,synthetic_typo,gk jd bg
ga jd bg,batal,synthetic_typo,ga jd bg
cancel,batal,synthetic_typo,cancel
cncl,batal,synthetic_typo,cncl
cencel,batal,synthetic_typo,cencel
cancel aja,batal,synthetic_typo,cancel aja
cncl bg,batal,synthetic_typo,cncl bg
cencel bg,batal,synthetic_typo,cencel bg
kemahalan,batal,synthetic_typo,kemahalan
mahal,batal,synthetic_typo,mahal
gak usah,batal,synthetic_typo,gak usah
gk ush,batal,synthetic_typo,gk ush
g usah,batal,synthetic_typo,g usah
stju,setuju,synthetic_typo,stju
stuju,setuju,synthetic_typo,stuju
setju,setuju,synthetic_typo,setju
stuju bg,setuju,synthetic_typo,stuju bg
stju bang,setuju,synthetic_typo,stju bang
stju ya,setuju,synthetic_typo,stju ya
ok,setuju,synthetic_typo,ok
oke,setuju,synthetic_typo,oke
ok bg,setuju,synthetic_typo,ok bg
okelah,setuju,synthetic_typo,okelah
oke kerjain aja,setuju,synthetic_typo,oke kerjain aja
oke kerjain aja bg,setuju,synthetic_typo,oke kerjain aja bg
oke bg,setuju,synthetic_typo,oke bg
ok ya,setuju,synthetic_typo,ok ya
lanjut,setuju,synthetic_typo,lanjut
lanjut bg,setuju,synthetic_typo,lanjut bg
lnjt,setuju,synthetic_typo,lnjt
lanjutkan,setuju,synthetic_typo,lanjutkan
gass,setuju,synthetic_typo,gass
gas bg,setuju,synthetic_typo,gas bg
y,setuju,synthetic_typo,y
y bg,setuju,synthetic_typo,y bg
ya bg,setuju,synthetic_typo,ya bg
y sdah,setuju,synthetic_typo,y sdah
yowes,setuju,synthetic_typo,yowes
ok gas,setuju,synthetic_typo,ok gas
btl,batal,synthetic_typo,btl
btl bg,batal,synthetic_typo,btl bg
batalin,batal,synthetic_typo,batalin
batalin aja,batal,synthetic_typo,batalin aja
batalin aja bg,batal,synthetic_typo,batalin aja bg
batalin bg,batal,synthetic_typo,batalin bg
ga jadi,batal,synthetic_typo,ga jadi
gajadi,batal,synthetic_typo,gajadi
gak jadi,batal,synthetic_typo,gak jadi
gk jd,batal,synthetic_typo,gk jd
gk jdi,batal,synthetic_typo,gk jdi
gk jd bg,batal,synthetic_typo,gk jd bg
ga jd bg,batal,synthetic_typo,ga jd bg
cancel,batal,synthetic_typo,cancel
cncl,batal,synthetic_typo,cncl
cencel,batal,synthetic_typo,cencel
cancel aja,batal,synthetic_typo,cancel aja
cncl bg,batal,synthetic_typo,cncl bg
cencel bg,batal,synthetic_typo,cencel bg
kemahalan,batal,synthetic_typo,kemahalan
mahal,batal,synthetic_typo,mahal
gak usah,batal,synthetic_typo,gak usah
gk ush,batal,synthetic_typo,gk ush
g usah,batal,synthetic_typo,g usah
stju,setuju,synthetic_typo,stju
stuju,setuju,synthetic_typo,stuju
setju,setuju,synthetic_typo,setju
stuju bg,setuju,synthetic_typo,stuju bg
stju bang,setuju,synthetic_typo,stju bang
stju ya,setuju,synthetic_typo,stju ya
ok,setuju,synthetic_typo,ok
oke,setuju,synthetic_typo,oke
ok bg,setuju,synthetic_typo,ok bg
okelah,setuju,synthetic_typo,okelah
oke kerjain aja,setuju,synthetic_typo,oke kerjain aja
oke kerjain aja bg,setuju,synthetic_typo,oke kerjain aja bg
oke bg,setuju,synthetic_typo,oke bg
ok ya,setuju,synthetic_typo,ok ya
lanjut,setuju,synthetic_typo,lanjut
lanjut bg,setuju,synthetic_typo,lanjut bg
lnjt,setuju,synthetic_typo,lnjt
lanjutkan,setuju,synthetic_typo,lanjutkan
gass,setuju,synthetic_typo,gass
gas bg,setuju,synthetic_typo,gas bg
y,setuju,synthetic_typo,y
y bg,setuju,synthetic_typo,y bg
ya bg,setuju,synthetic_typo,ya bg
y sdah,setuju,synthetic_typo,y sdah
yowes,setuju,synthetic_typo,yowes
ok gas,setuju,synthetic_typo,ok gas
btl,batal,synthetic_typo,btl
btl bg,batal,synthetic_typo,btl bg
batalin,batal,synthetic_typo,batalin
batalin aja,batal,synthetic_typo,batalin aja
batalin aja bg,batal,synthetic_typo,batalin aja bg
batalin bg,batal,synthetic_typo,batalin bg
ga jadi,batal,synthetic_typo,ga jadi
gajadi,batal,synthetic_typo,gajadi
gak jadi,batal,synthetic_typo,gak jadi
gk jd,batal,synthetic_typo,gk jd
gk jdi,batal,synthetic_typo,gk jdi
gk jd bg,batal,synthetic_typo,gk jd bg
ga jd bg,batal,synthetic_typo,ga jd bg
cancel,batal,synthetic_typo,cancel
cncl,batal,synthetic_typo,cncl
cencel,batal,synthetic_typo,cencel
cancel aja,batal,synthetic_typo,cancel aja
cncl bg,batal,synthetic_typo,cncl bg
cencel bg,batal,synthetic_typo,cencel bg
kemahalan,batal,synthetic_typo,kemahalan
mahal,batal,synthetic_typo,mahal
gak usah,batal,synthetic_typo,gak usah
gk ush,batal,synthetic_typo,gk ush
g usah,batal,synthetic_typo,g usah
stju,setuju,synthetic_typo,stju
stuju,setuju,synthetic_typo,stuju
setju,setuju,synthetic_typo,setju
stuju bg,setuju,synthetic_typo,stuju bg
stju bang,setuju,synthetic_typo,stju bang
stju ya,setuju,synthetic_typo,stju ya
ok,setuju,synthetic_typo,ok
oke,setuju,synthetic_typo,oke
ok bg,setuju,synthetic_typo,ok bg
okelah,setuju,synthetic_typo,okelah
oke kerjain aja,setuju,synthetic_typo,oke kerjain aja
oke kerjain aja bg,setuju,synthetic_typo,oke kerjain aja bg
oke bg,setuju,synthetic_typo,oke bg
ok ya,setuju,synthetic_typo,ok ya
lanjut,setuju,synthetic_typo,lanjut
lanjut bg,setuju,synthetic_typo,lanjut bg
lnjt,setuju,synthetic_typo,lnjt
lanjutkan,setuju,synthetic_typo,lanjutkan
gass,setuju,synthetic_typo,gass
gas bg,setuju,synthetic_typo,gas bg
y,setuju,synthetic_typo,y
y bg,setuju,synthetic_typo,y bg
ya bg,setuju,synthetic_typo,ya bg
y sdah,setuju,synthetic_typo,y sdah
yowes,setuju,synthetic_typo,yowes
ok gas,setuju,synthetic_typo,ok gas
btl,batal,synthetic_typo,btl
btl bg,batal,synthetic_typo,btl bg
batalin,batal,synthetic_typo,batalin
batalin aja,batal,synthetic_typo,batalin aja
batalin aja bg,batal,synthetic_typo,batalin aja bg
batalin bg,batal,synthetic_typo,batalin bg
ga jadi,batal,synthetic_typo,ga jadi
gajadi,batal,synthetic_typo,gajadi
gak jadi,batal,synthetic_typo,gak jadi
gk jd,batal,synthetic_typo,gk jd
gk jdi,batal,synthetic_typo,gk jdi
gk jd bg,batal,synthetic_typo,gk jd bg
ga jd bg,batal,synthetic_typo,ga jd bg
cancel,batal,synthetic_typo,cancel
cncl,batal,synthetic_typo,cncl
cencel,batal,synthetic_typo,cencel
cancel aja,batal,synthetic_typo,cancel aja
cncl bg,batal,synthetic_typo,cncl bg
cencel bg,batal,synthetic_typo,cencel bg
kemahalan,batal,synthetic_typo,kemahalan
mahal,batal,synthetic_typo,mahal
gak usah,batal,synthetic_typo,gak usah
gk ush,batal,synthetic_typo,gk ush
g usah,batal,synthetic_typo,g usah
stju,setuju,synthetic_typo,stju
stuju,setuju,synthetic_typo,stuju
setju,setuju,synthetic_typo,setju
stuju bg,setuju,synthetic_typo,stuju bg
stju bang,setuju,synthetic_typo,stju bang
stju ya,setuju,synthetic_typo,stju ya
ok,setuju,synthetic_typo,ok
oke,setuju,synthetic_typo,oke
ok bg,setuju,synthetic_typo,ok bg
okelah,setuju,synthetic_typo,okelah
oke kerjain aja,setuju,synthetic_typo,oke kerjain aja
oke kerjain aja bg,setuju,synthetic_typo,oke kerjain aja bg
oke bg,setuju,synthetic_typo,oke bg
ok ya,setuju,synthetic_typo,ok ya
lanjut,setuju,synthetic_typo,lanjut
lanjut bg,setuju,synthetic_typo,lanjut bg
lnjt,setuju,synthetic_typo,lnjt
lanjutkan,setuju,synthetic_typo,lanjutkan
gass,setuju,synthetic_typo,gass
gas bg,setuju,synthetic_typo,gas bg
y,setuju,synthetic_typo,y
y bg,setuju,synthetic_typo,y bg
ya bg,setuju,synthetic_typo,ya bg
y sdah,setuju,synthetic_typo,y sdah
yowes,setuju,synthetic_typo,yowes
ok gas,setuju,synthetic_typo,ok gas
btl,batal,synthetic_typo,btl
btl bg,batal,synthetic_typo,btl bg
batalin,batal,synthetic_typo,batalin
batalin aja,batal,synthetic_typo,batalin aja
batalin aja bg,batal,synthetic_typo,batalin aja bg
batalin bg,batal,synthetic_typo,batalin bg
ga jadi,batal,synthetic_typo,ga jadi
gajadi,batal,synthetic_typo,gajadi
gak jadi,batal,synthetic_typo,gak jadi
gk jd,batal,synthetic_typo,gk jd
gk jdi,batal,synthetic_typo,gk jdi
gk jd bg,batal,synthetic_typo,gk jd bg
ga jd bg,batal,synthetic_typo,ga jd bg
cancel,batal,synthetic_typo,cancel
cncl,batal,synthetic_typo,cncl
cencel,batal,synthetic_typo,cencel
cancel aja,batal,synthetic_typo,cancel aja
cncl bg,batal,synthetic_typo,cncl bg
cencel bg,batal,synthetic_typo,cencel bg
kemahalan,batal,synthetic_typo,kemahalan
mahal,batal,synthetic_typo,mahal
gak usah,batal,synthetic_typo,gak usah
gk ush,batal,synthetic_typo,gk ush
g usah,batal,synthetic_typo,g usah
